,index,eventId,seriesId,matchId,teamId,teamName,map,oppTeamId,oppTeamName,teamScore,atkFirst,won,acs,kills,firstKills,deaths,firstDeaths,assists,damage,headshots,bodyshots,legshots,plants,defusals,clutches,clutchOpponents,clutchOpportunities,KDR,KD,FKD,KDA,spentCreds,loadoutValue,avgEconRating,dates
419,420,566,14177,29105,2613,NORC,Icebox,771,LRS,8,0,0,178.88571428571427,65,7,85,14,26,113.45714285714286,43,146,21,8,2,2,42,14,0.7647058823529411,-20,-7,65.30588235294118,2557.6190476190477,3366.190476190476,44.360454291565816,2021-07-01
418,419,566,14177,29105,771,LRS,Icebox,2613,NORC,13,1,1,231.28571428571428,85,14,65,7,30,148.36190476190475,61,197,11,10,4,2,24,10,1.3076923076923077,20,7,85.46153846153847,2250.9523809523807,3780.4761904761904,65.9107256187857,2021-07-01
417,418,566,14178,29109,4009,UNNAMED,Split,3975,KCP,0,1,0,106.66153846153846,19,1,66,12,4,64.49230769230769,16,67,6,0,0,0,48,13,0.2878787878787879,-47,-11,19.060606060606062,2495.3846153846152,2802.3076923076924,25.84463625154131,2021-07-01
416,417,566,14178,29109,3975,KCP,Split,4009,UNNAMED,13,0,1,261.38461538461536,66,12,19,1,21,159.52307692307693,48,124,6,1,0,0,0,0,3.473684210526316,47,11,67.10526315789474,1890.0,3987.6923076923076,84.4037444037444,2021-07-01
415,416,566,14178,29108,4009,UNNAMED,Ascent,3975,KCP,9,0,0,188.70909090909092,71,11,95,11,17,119.35454545454546,65,217,10,4,2,3,50,16,0.7473684210526316,-24,0,71.17894736842105,2603.181818181818,3356.818181818182,45.84948489610617,2021-07-01
414,415,566,14178,29108,3975,KCP,Ascent,4009,UNNAMED,13,1,1,240.3090909090909,95,11,71,11,30,149.9909090909091,69,210,11,8,1,1,24,10,1.3380281690140845,24,0,95.4225352112676,2621.818181818182,3741.818181818182,57.20873786407767,2021-07-01
413,414,566,14131,28969,1021,TLP,Icebox,2805,UNNAMED,13,1,1,205.62608695652173,79,10,77,13,19,125.19130434782609,63,183,12,9,2,2,41,12,1.025974025974026,2,-3,79.24675324675324,2561.304347826087,3499.1304347826085,48.87794941436089,2021-07-01
412,413,566,14131,28969,2805,UNNAMED,Icebox,1021,TLP,10,0,0,194.02608695652174,77,13,80,10,20,128.81739130434784,57,186,3,6,3,0,38,12,0.9625,-3,3,77.25,2418.2608695652175,3682.608695652174,53.26860841423949,2021-07-01
437,438,566,14148,29019,3993,ZEPH,Icebox,78,BBG,4,1,0,140.78823529411764,40,7,81,10,10,85.72941176470589,25,117,11,7,0,2,53,15,0.49382716049382713,-41,-3,40.123456790123456,2597.0588235294117,3002.9411764705883,33.010192525481315,2021-07-01
411,412,566,14131,28968,1021,TLP,Split,2805,UNNAMED,12,1,0,206.54615384615386,91,15,91,11,27,127.04615384615384,66,240,13,6,2,0,47,14,1.0,0,4,91.2967032967033,2641.923076923077,3748.4615384615386,48.088513611879456,2021-07-01
438,439,566,14146,29012,543,UNNAMED,Ascent,3992,UH,13,1,1,226.2095238095238,84,10,76,11,27,134.22857142857143,54,181,11,7,3,4,29,12,1.105263157894737,8,-1,84.35526315789474,2672.3809523809523,3457.6190476190477,50.228082679971486,2021-07-01
440,441,566,14146,29013,543,UNNAMED,Icebox,3992,UH,13,0,1,221.75,78,15,58,5,21,135.06,54,186,12,7,2,1,27,8,1.3448275862068966,20,10,78.36206896551724,2450.0,3826.5,55.1265306122449,2021-07-01
465,466,566,14141,28998,3990,UNNAMED,Bind,588,PK,2,0,0,148.64,35,3,69,12,8,86.13333333333334,30,63,9,2,0,0,45,13,0.5072463768115942,-34,-9,35.11594202898551,2525.3333333333335,2753.3333333333335,34.1077085533263,2021-07-01
464,465,566,14141,28998,588,PK,Bind,3990,UNNAMED,13,1,1,250.32,69,12,35,3,35,161.64,48,153,10,9,2,0,8,2,1.9714285714285715,34,9,70.0,2078.0,3720.6666666666665,77.78633301251202,2021-07-01
